PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,AlShift,ZAlShift,t1dist,Exp1,Exp2,ExpShift,AlExShift,ZAlExShift,sjnum,KnowClose,KnowFar,TrustClose,TrustFar,AccClose,AccFar,AttClose,AttFar,ZKnowClose,ZKnowFar,ZTrustClose,ZTrustFar,ZAccClose,ZAccFar,ZAttClose,ZAttFar,Outlier
two15_C_165_17,two15,C,165,right,17,1,31.24726177,-0.189377343,165.0000012,1.72210368,-0.010718817,160.6617241,-4.338277051,-4.338277051,0.455198732,-1.20E-06,241,85,-156,-156,-1.767526396,17,75,22,65,35,79,24,25,30,1.132647418,-1.164501144,0.439285928,-0.993662713,1.139504754,-0.885333989,-0.829651267,-0.276416837,0
two15_C_165_18,two15,C,165,right,18,2,35.03350835,-0.189370261,185.0000532,601.9805504,-4.151569515,145.0007156,-39.99933761,-39.99933761,-0.88744973,-20.0000532,210,135,-75,-75,-0.745026577,18,55,38,55,45,50,50,28,38,0.239618505,-0.472697612,-0.098895341,-0.458179947,0.280945986,-0.072593932,-0.376453407,-0.219758818,0
two15_C_165_19,two15,C,165,right,19,1,21.61512276,-0.131000588,165.0001959,3.958584965,-0.027451347,144.2036692,-20.7965267,-20.7965267,-0.164458767,-0.0001959,279,190,-89,-89,-0.921754941,19,99,42,98,44,98,1,36,65,2.173952303,-0.313519539,1.920104622,-0.591017396,1.933638376,-1.917043198,-0.313588425,1.474223133,0
two15_C_135_11,two15,C,135,left,11,1,11.83236449,-0.081604933,144.9957011,22.16117992,-0.12311592,180.0025524,35.00685122,-35.00685122,-0.699481283,-9.9957011,225,185,-40,40,0.706670696,11,65,48,72,50,63,50,57,92,0.698770383,-0.058225057,0.753398984,-0.322587184,0.470760651,0.280945986,0.671622454,2.824716825,0
two15_C_135_110,two15,C,135,left,110,2,601.9805504,-4.151569515,145.0007156,11.27326266,-0.068300813,165.0531248,20.05240925,-20.05240925,-0.136442546,-10.0007156,61,55,-6,6,0.277473241,110,79,7,92,42,70,42,1,1,1.260796431,-1.817716421,1.556424297,-0.592799828,1.178084428,-0.406965984,-1.726947099,-1.955606559,0
two15_C_135_12,two15,C,135,left,12,2,643.4903041,-4.151569515,154.9992844,629.5552462,-4.061650959,154.9998393,0.000554899,-0.000554899,0.61851513,-19.9992844,156,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
two15_C_135_13,two15,C,135,left,13,1,15.28301111,-0.101886741,150,30.22759236,-0.167930979,180.0000964,30.00009644,-30.00009644,-0.510975628,-15,162,183,21,-21,-0.063360031,13,46,63,50,66,50,66,50,36,-0.125595984,0.580011147,-0.233813478,0.393226713,-0.072593932,0.99865674,0.343218828,0.023692872,0
two15_C_135_14,two15,C,135,left,14,2,7.559249971,-0.048738372,155.0985323,6.114631745,-0.038082468,160.5629044,5.464372141,-5.464372141,0.412800951,-20.0985323,240,83,-157,157,2.183614879,14,89,8,93,9,86,9,36,58,1.686287234,-1.774328718,1.601162666,-2.073618521,1.895795182,-1.786250696,0.023692872,0.718537258,0
two15_C_135_15,two15,C,135,left,15,1,16.45687937,-0.10617313,155.0004164,6.904549727,-0.057727051,119.6068326,-35.39358382,35.39358382,1.951113914,-20.0004164,32,230,198,-198,-2.297711487,15,61,68,50,50,50,50,61,62,0.525219569,0.792756548,-0.233813478,-0.322587184,-0.072593932,0.280945986,0.85928167,1.324168279,0
two15_C_135_16,two15,C,135,left,16,2,11.27326266,-0.068300813,165.0531248,14.26145828,-0.101868592,139.9985802,-25.05454463,25.05454463,1.561846325,-30.0531248,118,131,13,-13,0.037627605,16,98,81,98,64,99,99,50,50,2.069228956,1.392973639,1.824854509,0.394412634,2.47893517,1.975434882,0.72394886,0.343218828,0
two15_C_135_17,two15,C,135,left,17,1,290.3978952,-2.07427068,140,12.417462,-0.067026311,185.2624996,45.26249958,-45.26249958,-1.085609185,-5,128,230,102,-102,-1.08585985,17,27,75,58,78,35,65,30,21,-0.949962351,1.09060011,0.125172872,0.930087137,-0.699541529,0.953799818,-0.595077248,-0.726581401,0
two15_C_135_18,two15,C,135,left,18,2,8.370050652,-0.055800338,150,12.72563689,-0.079529607,160.011313,10.01131298,-10.01131298,0.241607413,-15,119,269,150,-150,-1.691785669,18,59,1,41,21,55,12,61,59,0.409814826,-2.078042642,-0.725232501,-1.535138997,0.505230597,-1.660861176,1.274149994,0.765452062,0
two15_C_135_19,two15,C,135,left,19,1,17.51348975,-0.106141224,165.0017696,758.4937669,-4.100055216,184.9959883,19.99421872,-19.99421872,-0.134251657,-30.0017696,180,188,8,-8,0.100744878,19,65,76,56,64,82,81,38,58,0.698770383,1.13314919,0.035426285,0.303749976,1.264894273,1.671510572,-0.219758818,1.124095139,0
none_R_pass_11,none,R,NA,control,11,1,-15.39505964,0.10617313,144.9995836,-17.30618288,0.101798398,170.0044722,25.00488863,25.00488863,-0.125284927,NA,148,144,-4,-4,0.151238696,11,70,30,77,38,79,25,58,42,0.915708901,-0.824108502,0.977765453,-0.859447607,1.139504754,-0.840477067,0.718537258,0.323802581,0
none_R_pass_110,none,R,NA,control,110,2,-28.54961494,0.167938894,170.000018,-758.493767,4.100055217,184.9959883,14.99597036,14.99597036,-0.176845342,NA,45,195,150,150,2.095250697,110,65,45,70,39,68,36,21,53,0.665109307,-0.168983687,0.572180188,-0.727419709,1.088370584,-0.657745022,-0.726581401,0.483963239,0
none_R_pass_12,none,R,NA,control,12,2,-290.3978952,2.07427068,140,-8.263606422,0.047308664,174.6742726,34.67427264,34.67427264,-0.075473604,NA,34,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
none_R_pass_13,none,R,NA,control,13,1,-6.835117395,0.050730534,134.7337957,-6.164781368,0.041098542,150,15.26620431,15.26620431,-0.175453246,NA,225,114,-111,-111,-1.199470941,13,50,50,77,76,68,41,51,66,0.04795483,0.026873103,0.977765453,0.840610399,0.679743183,-0.122766313,0.390133632,1.524241418,0
none_R_pass_14,none,R,NA,control,14,2,-21.61512276,0.131000588,165.0001959,-370.142293,2.056346072,180,14.99980408,14.99980408,-0.176825593,NA,236,NA,NA,NA,NA,14,68,36,73,56,59,36,50,21,0.792756548,-0.559473019,0.706395294,0.035426285,0.684658285,-0.657745022,0.72394886,-1.017310482,0
