PID,cond,axlab,closebound,cbside,sno,FaceLeft,t1int,t1slope,t1bound,t2int,t2slope,t2bound,bshift,AlShift,ZAlShift,t1dist
none_R_pass_17,none,R,NA,control,17,1,-29.35351506,0.189377516,155.0000002,-15.39505964,0.10617313,144.9995836,-10.00041657,-10.00041657,-0.305612913,NA
none_R_pass_18,none,R,NA,control,18,2,-15.06043467,0.088583587,170.0138274,-11.37092765,0.066851957,170.0911709,0.077343483,0.077343483,-0.253697863,NA
none_R_pass_19,none,R,NA,control,19,1,-15.09597459,0.091487123,165.0065511,-830.5001102,4.051358275,204.9930058,39.98645463,39.98645463,-0.048108178,NA
two15_R_165_11,two15,R,165,right,11,1,-28.54961494,0.167938894,170.000018,-9.627885209,0.087597654,109.9103085,-60.08970941,-60.08970941,-1.643857599,-5.000018
two15_R_165_110,two15,R,165,right,110,2,-8.784493561,0.05003812,175.5560276,-8.384042787,0.050730534,165.2662043,-10.28982331,-10.28982331,0.231121424,-10.5560276
two15_R_165_12,two15,R,165,right,12,2,-27.45973984,0.189377516,144.9999998,-5.004918015,0.038838044,128.8663777,-16.13362216,-16.13362216,0.011100835,20.0000002
two15_R_165_13,two15,R,165,right,13,1,-13.52112356,0.073020988,185.1676348,-12.19260209,0.101615809,119.9872558,-65.18037896,-65.18037896,-1.835522668,-20.1676348
two15_R_165_14,two15,R,165,right,14,2,-26.87049098,0.167940565,160.0000032,-427.9322752,4.075346828,105.0051182,-54.99488506,-54.99488506,-1.4520361,4.9999968
two15_R_165_15,two15,R,165,right,15,1,-31.24726177,0.189377343,165.0000012,-683.3294465,4.141441473,164.9979726,-0.002028623,-0.002028623,0.618459644,-1.20E-06
two15_R_165_16,two15,R,165,right,16,2,-13.52112356,0.073020988,185.1676348,-268.7040016,2.066953858,130,-55.16763481,-55.16763481,-1.458540174,-20.1676348
two15_R_165_17,two15,R,165,right,17,1,-21.61512276,0.131000588,165.0001959,-5.091900321,0.071473393,71.24190018,-93.75829574,-93.75829574,-2.911488874,-0.0001959
two15_R_165_18,two15,R,165,right,18,2,-14.19460574,0.088713617,160.004813,-10.904086,0.072693907,150,-10.00481301,-10.00481301,0.241852138,4.995187
two15_R_165_19,two15,R,165,right,19,1,-29.35351506,0.189377516,155.0000002,-16.2991194,0.101868592,160.0014198,5.001419675,5.001419675,0.80684081,9.9999998
two15_R_135_11,two15,R,135,left,11,1,-21.61512276,0.131000588,165.0001959,-13.82469978,0.072580023,190.4752741,25.47507817,-25.47507817,-0.34060748,-30.0001959
two15_R_135_110,two15,R,135,left,110,2,-13.48981412,0.079337524,170.0306927,-758.493767,4.100055217,184.9959883,14.96529561,-14.96529561,0.055088642,-35.0306927
two15_R_135_12,two15,R,135,left,12,2,-12.72563689,0.079529607,160.011313,-15.28301111,0.101886741,150,-10.01131298,10.01131298,0.995464632,-25.011313
two15_R_135_13,two15,R,135,left,13,1,-4.466548316,0.029776989,150,-11.15204344,0.064484487,172.9414915,22.94149151,-22.94149151,-0.245217265,-15
two15_R_135_14,two15,R,135,left,14,2,-5.310108795,0.038082468,139.4370956,-27.45973984,0.189377516,144.9999998,5.562904284,-5.562904284,0.409091189,-4.4370956
two15_R_135_15,two15,R,135,left,15,1,-17.30618288,0.101798398,170.0044722,-5.541024142,0.034458887,160.8010174,-9.203454837,9.203454837,0.965048557,-35.0044722
two15_R_135_16,two15,R,135,left,16,2,-3.188054133,0.021253694,150,-4.399062044,0.026216964,167.7944849,17.79448491,-17.79448491,-0.051431091,-15
two15_R_135_17,two15,R,135,left,17,1,-6.331151154,0.039448062,160.49334,-11.62084952,0.072620528,160.0215499,-0.47179011,0.47179011,0.636299046,-25.49334
two15_R_135_18,two15,R,135,left,18,2,-721.5460447,4.123193088,174.9969088,-35.03350835,0.189370261,185.0000532,10.00314438,-10.00314438,0.241914962,-39.9969088
two15_R_135_19,two15,R,135,left,19,1,-16.65141107,0.087597654,190.0896915,-20.94200789,0.123187749,170.0007357,-20.08895577,20.08895577,1.374890577,-55.0896915
none_C_act_1,none,C,NA,control,1,1,11.37092765,-0.066851957,170.0911709,17.55206639,-0.089955079,195.1203492,25.02917828,25.02917828,0.906110666,NA
none_C_act_10,none,C,NA,control,10,2,643.4903041,-4.151569515,154.9992844,351.3821559,-2.066953858,170,15.00071555,15.00071555,0.537988614,NA
none_C_act_2,none,C,NA,control,2,2,6.945626295,-0.044768805,155.1443308,3.603996749,-0.037985245,94.87885905,-60.26547173,-60.26547173,-2.224861891,NA
none_C_act_3,none,C,NA,control,3,1,26.87049098,-0.167940565,160.0000032,7.166545591,-0.05523562,129.7450025,-30.25500076,-30.25500076,-1.123245775,NA
none_C_act_4,none,C,NA,control,4,2,23.51167858,-0.167940565,139.9999968,441.8147367,-2.008248803,220,80.00000324,80.00000324,2.923964591,NA
none_C_act_5,none,C,NA,control,5,1,26.87049098,-0.167940565,160.0000032,7.571491392,-0.04045877,187.1409198,27.14091658,27.14091658,0.983627775,NA
none_C_act_6,none,C,NA,control,6,2,7.702839676,-0.048077763,160.216266,8.194707421,-0.056533446,144.9532613,-15.26300471,-15.26300471,-0.572923707,NA
none_C_act_8,none,C,NA,control,8,2,15.09597459,-0.091487123,165.0065511,16.2991194,-0.101868592,160.0014198,-5.005131311,-5.005131311,-0.196380511,NA
