Oord,Sord,AxLab,FarSource,SID,ExperimentName,Phase,Subject,Pic,Trial,Question,Rating,FaceDist
12180,H,SP-C,C,SP-C_C5,SP-C_Ctrl_Final1,Rating,5,Mark.bmp,NA,Trust,65,Far
12199,H,SP-C,C,SP-C_C5,SP-C_Ctrl_Final1,Rating,5,Adam.bmp,NA,Attract,35,Close
12200,H,SP-C,C,SP-C_C5,SP-C_Ctrl_Final1,Rating,5,Mark.bmp,NA,Attract,42,Far
12141,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Adam.bmp,NA,Know,19,Far
12142,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Mark.bmp,NA,Know,76,Close
12161,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Adam.bmp,NA,Acc,18,Far
12162,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Mark.bmp,NA,Acc,73,Close
12181,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Adam.bmp,NA,Trust,35,Far
12182,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Mark.bmp,NA,Trust,67,Close
12201,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Adam.bmp,NA,Attract,68,Far
12202,H,SP-C,C,SP-C_C6,SP-C_Ctrl_Final1,Rating,6,Mark.bmp,NA,Attract,36,Close
12143,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Adam.bmp,NA,Know,50,Close
12144,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Mark.bmp,NA,Know,50,Far
12163,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Adam.bmp,NA,Acc,55,Close
12164,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Mark.bmp,NA,Acc,52,Far
12183,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Adam.bmp,NA,Trust,50,Close
12184,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Mark.bmp,NA,Trust,44,Far
12203,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Adam.bmp,NA,Attract,50,Close
12204,H,SP-C,C,SP-C_C7,SP-C_Ctrl_Final1,Rating,7,Mark.bmp,NA,Attract,42,Far
12145,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Adam.bmp,NA,Know,62,Far
12146,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Mark.bmp,NA,Know,68,Close
12165,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Adam.bmp,NA,Acc,65,Far
12166,H,SP-C,C,SP-C_C8,SP-C_Ctrl_Final1,Rating,8,Mark.bmp,NA,Acc,56,Close
